Rk,Team,Date,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Match Report
1,Tottenham,6/1/2019,N,Liverpool,Champions League,L 0-2,0,2,-2,64,0,0,0,0,Match Report
2,Tottenham,5/12/2019,,Everton,eng Premier League,D 2-2,2,2,0,55,2,0,0,0,Match Report
3,Tottenham,5/8/2019,@,Ajax,Champions League,W 3-2,3,2,1,60,3,0,0,0,Match Report
4,Tottenham,5/4/2019,@,Bournemouth,eng Premier League,L 0-1,0,1,-1,47,0,0,0,0,Match Report
5,Tottenham,4/30/2019,,Ajax,Champions League,L 0-1,0,1,-1,51,0,0,0,0,Match Report
6,Tottenham,4/27/2019,,West Ham,eng Premier League,L 0-1,0,1,-1,62,0,0,0,0,Match Report
7,Tottenham,4/23/2019,,Brighton,eng Premier League,W 1-0,1,0,1,77,1,0,0,0,Match Report
8,Tottenham,4/20/2019,@,Manchester City,eng Premier League,L 0-1,0,1,-1,39,0,0,0,0,Match Report
9,Tottenham,4/17/2019,@,Manchester City,Champions League,L 3-4,3,4,-1,35,3,0,0,0,Match Report
10,Tottenham,4/13/2019,,Huddersfield,eng Premier League,W 4-0,4,0,4,69,4,0,0,0,Match Report
11,Tottenham,4/9/2019,,Manchester City,Champions League,W 1-0,1,0,1,42,1,0,0,0,Match Report
12,Tottenham,4/3/2019,,Crystal Palace,eng Premier League,W 2-0,2,0,2,65,2,0,0,0,Match Report
13,Tottenham,3/31/2019,@,Liverpool,eng Premier League,L 1-2,1,2,-1,52,1,0,0,0,Match Report
14,Tottenham,3/9/2019,@,Southampton,eng Premier League,L 1-2,1,2,-1,63,1,0,0,0,Match Report
15,Tottenham,3/5/2019,@,Dortmund,Champions League,W 1-0,1,0,1,36,1,0,0,0,Match Report
16,Tottenham,3/2/2019,,Arsenal,eng Premier League,D 1-1,1,1,0,60,0,1,1,0,Match Report
17,Tottenham,2/27/2019,@,Chelsea,eng Premier League,L 0-2,0,2,-2,54,0,0,0,0,Match Report
18,Tottenham,2/23/2019,@,Burnley,eng Premier League,L 1-2,1,2,-1,68,1,0,0,0,Match Report
19,Tottenham,2/13/2019,,Dortmund,Champions League,W 3-0,3,0,3,53,3,0,0,0,Match Report
20,Tottenham,2/10/2019,,Leicester City,eng Premier League,W 3-1,3,1,2,53,3,0,0,0,Match Report
21,Tottenham,2/2/2019,,Newcastle Utd,eng Premier League,W 1-0,1,0,1,71,1,0,0,0,Match Report
22,Tottenham,1/30/2019,,Watford,eng Premier League,W 2-1,2,1,1,68,2,0,0,0,Match Report
23,Tottenham,1/27/2019,@,Crystal Palace,eng FA Cup,L 0-2,0,2,-2,72,0,0,1,1,Match Report
24,Tottenham,1/24/2019,@,Chelsea,eng EFL Cup,L 1-2 (pk),1,2,-1,46,1,0,0,0,Match Report
25,Tottenham,1/20/2019,@,Fulham,eng Premier League,W 2-1,2,1,1,72,2,0,0,0,Match Report
26,Tottenham,1/13/2019,,Manchester Utd,eng Premier League,L 0-1,0,1,-1,61,0,0,0,0,Match Report
27,Tottenham,1/8/2019,,Chelsea,eng EFL Cup,W 1-0 (pk),1,0,1,42,0,1,1,0,Match Report
28,Tottenham,1/4/2019,@,Tranmere Rovers,eng FA Cup,W 7-0,7,0,7,74,7,0,0,0,Match Report
29,Tottenham,1/1/2019,@,Cardiff City,eng Premier League,W 3-0,3,0,3,72,3,0,0,0,Match Report
30,Tottenham,12/29/2018,,Wolves,eng Premier League,L 1-3,1,3,-2,60,1,0,0,0,Match Report
31,Tottenham,12/26/2018,,Bournemouth,eng Premier League,W 5-0,5,0,5,56,5,0,0,0,Match Report
32,Tottenham,12/23/2018,@,Everton,eng Premier League,W 6-2,6,2,4,58,6,0,0,0,Match Report
33,Tottenham,12/19/2018,@,Arsenal,eng EFL Cup,W 2-0,2,0,2,46,2,0,0,0,Match Report
34,Tottenham,12/15/2018,,Burnley,eng Premier League,W 1-0,1,0,1,70,1,0,0,0,Match Report
35,Tottenham,12/11/2018,@,Barcelona,Champions League,D 1-1,1,1,0,51,1,0,0,0,Match Report
36,Tottenham,12/8/2018,@,Leicester City,eng Premier League,W 2-0,2,0,2,57,2,0,0,0,Match Report
37,Tottenham,12/5/2018,,Southampton,eng Premier League,W 3-1,3,1,2,52,3,0,0,0,Match Report
38,Tottenham,12/2/2018,@,Arsenal,eng Premier League,L 2-4,2,4,-2,41,1,1,1,0,Match Report
39,Tottenham,11/28/2018,,Inter,Champions League,W 1-0,1,0,1,52,1,0,0,0,Match Report
40,Tottenham,11/24/2018,,Chelsea,eng Premier League,W 3-1,3,1,2,40,3,0,0,0,Match Report
41,Tottenham,11/10/2018,@,Crystal Palace,eng Premier League,W 1-0,1,0,1,64,1,0,0,0,Match Report
42,Tottenham,11/6/2018,,PSV Eindhoven,Champions League,W 2-1,2,1,1,75,2,0,0,0,Match Report
43,Tottenham,11/3/2018,@,Wolves,eng Premier League,W 3-2,3,2,1,51,3,0,0,0,Match Report
44,Tottenham,10/31/2018,@,West Ham,eng EFL Cup,W 3-1,3,1,2,50,3,0,0,0,Match Report
45,Tottenham,10/29/2018,,Manchester City,eng Premier League,L 0-1,0,1,-1,49,0,0,0,0,Match Report
46,Tottenham,10/24/2018,@,PSV Eindhoven,Champions League,D 2-2,2,2,0,70,2,0,0,0,Match Report
47,Tottenham,10/20/2018,@,West Ham,eng Premier League,W 1-0,1,0,1,56,1,0,0,0,Match Report
48,Tottenham,10/6/2018,,Cardiff City,eng Premier League,W 1-0,1,0,1,75,1,0,0,0,Match Report
49,Tottenham,10/3/2018,,Barcelona,Champions League,L 2-4,2,4,-2,39,2,0,0,0,Match Report
50,Tottenham,9/29/2018,@,Huddersfield,eng Premier League,W 2-0,2,0,2,47,1,1,1,0,Match Report
51,Tottenham,9/26/2018,,Watford,eng EFL Cup,D 2-2 (pk),2,2,0,52,1,1,1,0,Match Report
52,Tottenham,9/22/2018,@,Brighton,eng Premier League,W 2-1,2,1,1,70,1,1,1,0,Match Report
53,Tottenham,9/18/2018,@,Inter,Champions League,L 1-2,1,2,-1,54,1,0,0,0,Match Report
54,Tottenham,9/15/2018,,Liverpool,eng Premier League,L 1-2,1,2,-1,60,1,0,0,0,Match Report
55,Tottenham,9/2/2018,@,Watford,eng Premier League,L 1-2,1,2,-1,66,0,0,0,0,Match Report
56,Tottenham,8/27/2018,@,Manchester Utd,eng Premier League,W 3-0,3,0,3,43,3,0,0,0,Match Report
57,Tottenham,8/18/2018,,Fulham,eng Premier League,W 3-1,3,1,2,60,3,0,0,0,Match Report
58,Tottenham,8/11/2018,@,Newcastle Utd,eng Premier League,W 2-1,2,1,1,58,2,0,0,0,Match Report
